"DID040Q.Code.or.Value","DID040Q.Value.Description","DID040Q.Count","DID040Q.Cumulative","DID040Q.Skip.to.Item"
"1 to 88","Range of Values",512,512,NA
"77777","Refused",0,512,NA
"99999","Don't know",0,512,NA
".","Missing",9958,10470,NA
