"SSII4UCM.Code.or.Value","SSII4UCM.Value.Description","SSII4UCM.Count","SSII4UCM.Cumulative","SSII4UCM.Skip.to.Item"
"0 to 100000","Range of Values",891,891,NA
".","Missing",55,946,NA
