"LBDSF3LC.Code.or.Value","LBDSF3LC.Value.Description","LBDSF3LC.Count","LBDSF3LC.Cumulative","LBDSF3LC.Skip.to.Item"
"0","At or above the detection limit",242,242,NA
"1","Below lower detection limit",7241,7483,NA
".","Missing",1473,8956,NA
