"DR1TVB2.Code.or.Value","DR1TVB2.Value.Description","DR1TVB2.Count","DR1TVB2.Cumulative","DR1TVB2.Skip.to.Item"
"0 to 13.76","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
