"RFXC145.Code.or.Value","RFXC145.Value.Description","RFXC145.Count","RFXC145.Cumulative","RFXC145.Skip.to.Item"
"-3.366 to 6.98","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
