"BAQ100.Code.or.Value","BAQ100.Value.Description","BAQ100.Count","BAQ100.Cumulative","BAQ100.Skip.to.Item"
"1","Yes",530,530,NA
"2","No",2462,2992,NA
"7","Refused",6,2998,NA
"9","Don't know",184,3182,NA
".","Missing",3,3185,NA
