"DXXINBMD.Code.or.Value","DXXINBMD.Value.Description","DXXINBMD.Count","DXXINBMD.Cumulative","DXXINBMD.Skip.to.Item"
"0.487 to 1.875","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
