"LBCODTLA.Code.or.Value","LBCODTLA.Value.Description","LBCODTLA.Count","LBCODTLA.Cumulative","LBCODTLA.Skip.to.Item"
"0.42 to 13.67","Range of Values",247,247,NA
".","Missing",0,247,NA
