"WBXA034.Code.or.Value","WBXA034.Value.Description","WBXA034.Count","WBXA034.Cumulative","WBXA034.Skip.to.Item"
"-3.0963 to 1","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
