"DXDTRBMC.Code.or.Value","DXDTRBMC.Value.Description","DXDTRBMC.Count","DXDTRBMC.Cumulative","DXDTRBMC.Skip.to.Item"
"141.45 to 1503.65","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
