"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"40 to 171.6","Range of Values",8313,8313,NA
".","Missing",1231,9544,NA
