"SMQ852Q.Code.or.Value","SMQ852Q.Value.Description","SMQ852Q.Count","SMQ852Q.Cumulative","SMQ852Q.Skip.to.Item"
"0 to 356","Range of Values",577,577,NA
"7777","Refused",1,578,NA
"9999","Don't know",2,580,NA
".","Missing",6588,7168,NA
