"PFQ041.Code.or.Value","PFQ041.Value.Description","PFQ041.Count","PFQ041.Cumulative","PFQ041.Skip.to.Item"
"1","Yes",226,226,NA
"2","No",2259,2485,NA
"7","Refused",0,2485,NA
"9","Don't know",1,2486,NA
".","Missing",5864,8350,NA
