"FFQ0122B.Code.or.Value","FFQ0122B.Value.Description","FFQ0122B.Count","FFQ0122B.Cumulative","FFQ0122B.Skip.to.Item"
1,"Almost never or never",4796,4796,NA
2,"About 1/4 of the time",352,5148,NA
3,"About 1/2 of the time",263,5411,NA
4,"About 3/4 of the time",130,5541,NA
5,"Almost always or always",338,5879,NA
88,"Blank",588,6467,NA
99,"Error",5,6472,NA
