"OSD030aa.Code.or.Value","OSD030aa.Value.Description","OSD030aa.Count","OSD030aa.Cumulative","OSD030aa.Skip.to.Item"
"1 to 84","Range of Values",82,82,NA
"85","85 or older",6,88,NA
"77777","Refused",0,88,NA
"99999","Don't know",0,88,NA
".","Missing",4953,5041,NA
