"LBXSTP.Code.or.Value","LBXSTP.Value.Description","LBXSTP.Count","LBXSTP.Cumulative","LBXSTP.Skip.to.Item"
"5.3 to 11.3","Range of Values",6847,6847,NA
".","Missing",522,7369,NA
