"LBXGLU.Code.or.Value","LBXGLU.Value.Description","LBXGLU.Count","LBXGLU.Cumulative","LBXGLU.Skip.to.Item"
"38 to 584","Range of Values",3110,3110,NA
".","Missing",205,3315,NA
