"CDQ002.Code.or.Value","CDQ002.Value.Description","CDQ002.Count","CDQ002.Cumulative","CDQ002.Skip.to.Item"
"1","Yes",241,241,""
"2","No",591,832,"CDQ008"
"3","Never walks uphill or hurries",42,874,""
"7","Refused",0,874,"CDQ008"
"9","Don't know",5,879,"CDQ008"
".","Missing",2936,3815,""
