"LBDBCDSI.Code.or.Value","LBDBCDSI.Value.Description","LBDBCDSI.Count","LBDBCDSI.Cumulative","LBDBCDSI.Skip.to.Item"
"0.62 to 81.59","Range of Values",4988,4988,NA
".","Missing",827,5815,NA
