"DR2TP204.Code.or.Value","DR2TP204.Value.Description","DR2TP204.Count","DR2TP204.Cumulative","DR2TP204.Skip.to.Item"
"0 to 1.629","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
