"DSDSUPID.Code.or.Value","DSDSUPID.Value.Description","DSDSUPID.Count","DSDSUPID.Cumulative","DSDSUPID.Skip.to.Item"
"Supplement ID number","Value was recorded",9042,9042,NA
"7777777777","Refused",9,9051,NA
"9999999999","Don't know",22,9073,NA
"< blank >","Missing",0,9073,NA
