"OHD05LAS.Code.or.Value","OHD05LAS.Value.Description","OHD05LAS.Count","OHD05LAS.Cumulative","OHD05LAS.Skip.to.Item"
"0 to 7","Range of Values",1388,1388,NA
"99","Calculation cannot be determined",403,1791,NA
".","Missing",4967,6758,NA
