"OHQ560G.Code.or.Value","OHQ560G.Value.Description","OHQ560G.Count","OHQ560G.Cumulative","OHQ560G.Skip.to.Item"
"1","Enter age",2213,2213,""
"2","Has not started brushing teeth",6,2219,"OHQ566"
"7","Refused",0,2219,"OHQ566"
"9","Don't know",5,2224,"OHQ566"
".","Missing",6673,8897,""
