"URXNDEA.Code.or.Value","URXNDEA.Value.Description","URXNDEA.Count","URXNDEA.Cumulative","URXNDEA.Skip.to.Item"
"3.55 to 75.5","Range of Values",2329,2329,NA
".","Missing",276,2605,NA
