"LBXSCLSI.Code.or.Value","LBXSCLSI.Value.Description","LBXSCLSI.Count","LBXSCLSI.Cumulative","LBXSCLSI.Skip.to.Item"
"82 to 120","Range of Values",6374,6374,NA
".","Missing",543,6917,NA
