"BIXS220K.Code.or.Value","BIXS220K.Value.Description","BIXS220K.Count","BIXS220K.Cumulative","BIXS220K.Skip.to.Item"
"132.06 to 880.27","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
