"RFXT132.Code.or.Value","RFXT132.Value.Description","RFXT132.Count","RFXT132.Cumulative","RFXT132.Skip.to.Item"
"1150 to 1159","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
