"OSQ120g.Code.or.Value","OSQ120g.Value.Description","OSQ120g.Count","OSQ120g.Cumulative","OSQ120g.Skip.to.Item"
"1","Yes",9,9,""
"2","No",2,11,"OSQ060"
"7","Refused",0,11,"OSQ060"
"9","Don't know",0,11,"OSQ060"
".","Missing",4968,4979,""
