"WBXP040.Code.or.Value","WBXP040.Value.Description","WBXP040.Count","WBXP040.Cumulative","WBXP040.Skip.to.Item"
"-64.7336 to 142.6392","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
