"URXMAD.Code.or.Value","URXMAD.Value.Description","URXMAD.Count","URXMAD.Cumulative","URXMAD.Skip.to.Item"
"8.5 to 9090","Range of Values",2422,2422,NA
".","Missing",183,2605,NA
