"DRD350E.Code.or.Value","DRD350E.Value.Description","DRD350E.Count","DRD350E.Cumulative","DRD350E.Skip.to.Item"
"1","Yes",47,47,""
"2","No",1258,1305,"DRD350F"
".","Missing",9172,10477,""
