"URDUPTLC.Code.or.Value","URDUPTLC.Value.Description","URDUPTLC.Count","URDUPTLC.Cumulative","URDUPTLC.Skip.to.Item"
"0","At or above the detection limit",146,146,NA
"1","Below lower detection limit",2481,2627,NA
".","Missing",93,2720,NA
