"DSQTZINC.Code.or.Value","DSQTZINC.Value.Description","DSQTZINC.Count","DSQTZINC.Cumulative","DSQTZINC.Skip.to.Item"
"0 to 338.3","Range of Values",2567,2567,NA
".","Missing",7970,10537,NA
