"BAXFTC11.Code.or.Value","BAXFTC11.Value.Description","BAXFTC11.Count","BAXFTC11.Cumulative","BAXFTC11.Skip.to.Item"
"0 to 14","Range of Values",12,12,NA
".","Missing",3172,3184,NA
