"HUQ050.Code.or.Value","HUQ050.Value.Description","HUQ050.Count","HUQ050.Cumulative","HUQ050.Skip.to.Item"
"0","None",1250,1250,""
"1","1",2082,3332,"HUQ071"
"2","2 to 3",2987,6319,"HUQ071"
"3","4 to 9",2551,8870,"HUQ071"
"4","10 to 12",615,9485,"HUQ071"
"5","13 or more",630,10115,"HUQ071"
"77","Refused",0,10115,"HUQ071"
"99","Don't know",7,10122,"HUQ071"
".","Missing",0,10122,""
