"HSQ590.Code.or.Value","HSQ590.Value.Description","HSQ590.Count","HSQ590.Cumulative","HSQ590.Skip.to.Item"
"1","Yes",1884,1884,NA
"2","No",3596,5480,NA
"7","Refused",2,5482,NA
"9","Don't know",286,5768,NA
".","Missing",3654,9422,NA
