"AUXR5CR.Code.or.Value","AUXR5CR.Value.Description","AUXR5CR.Count","AUXR5CR.Cumulative","AUXR5CR.Skip.to.Item"
"5 to 105","Range of Values",21,21,NA
"666","No response",0,21,NA
"888","Could not obtain",1,22,NA
".","Missing",3109,3131,NA
