"MCD240b.Code.or.Value","MCD240b.Value.Description","MCD240b.Count","MCD240b.Cumulative","MCD240b.Skip.to.Item"
"18 to 79","Range of Values",60,60,NA
"16","16 years or younger",0,60,NA
"80","80 years or older",3,63,NA
"77777","Refused",0,63,NA
"99999","Don't know",1,64,NA
".","Missing",8833,8897,NA
