"LBDFSHSI.Code.or.Value","LBDFSHSI.Value.Description","LBDFSHSI.Count","LBDFSHSI.Cumulative","LBDFSHSI.Skip.to.Item"
"0.01 to 143.39","Range of Values",829,829,NA
".","Missing",5929,6758,NA
