"URXOP2.Code.or.Value","URXOP2.Value.Description","URXOP2.Count","URXOP2.Cumulative","URXOP2.Skip.to.Item"
"0.14 to 820","Range of Values",1949,1949,NA
".","Missing",176,2125,NA
