"DR1TVB6.Code.or.Value","DR1TVB6.Value.Description","DR1TVB6.Count","DR1TVB6.Cumulative","DR1TVB6.Skip.to.Item"
"0.016 to 48.321","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
