"DR2IBCAR.Code.or.Value","DR2IBCAR.Value.Description","DR2IBCAR.Count","DR2IBCAR.Cumulative","DR2IBCAR.Skip.to.Item"
"0 to 46401","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
