"URXBPS.Code.or.Value","URXBPS.Value.Description","URXBPS.Count","URXBPS.Cumulative","URXBPS.Skip.to.Item"
"0.07 to 211.9","Range of Values",2682,2682,NA
".","Missing",95,2777,NA
