"LBDT4SI.Code.or.Value","LBDT4SI.Value.Description","LBDT4SI.Count","LBDT4SI.Cumulative","LBDT4SI.Skip.to.Item"
"5.1 to 238.1","Range of Values",2051,2051,NA
".","Missing",225,2276,NA
