"DXASPNK.Code.or.Value","DXASPNK.Value.Description","DXASPNK.Count","DXASPNK.Cumulative","DXASPNK.Skip.to.Item"
"1.1119 to 1.1511","Range of Values",6382,6382,NA
".","Missing",1338,7720,NA
