"DR2TRET.Code.or.Value","DR2TRET.Value.Description","DR2TRET.Count","DR2TRET.Cumulative","DR2TRET.Skip.to.Item"
"0 to 19313","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
