"ENQ050.Code.or.Value","ENQ050.Value.Description","ENQ050.Count","ENQ050.Cumulative","ENQ050.Skip.to.Item"
"1","Yes",73,73,NA
"2","No",5366,5439,NA
"7","Refused",0,5439,NA
"9","Don't know",0,5439,NA
".","Missing",2304,7743,NA
