"PAXMZM.Code.or.Value","PAXMZM.Value.Description","PAXMZM.Count","PAXMZM.Cumulative","PAXMZM.Skip.to.Item"
"0 to 352.826","Range of Values",78122385,78122385,NA
"-0.01","Value could not be computed",4471,78126856,NA
".","Missing",0,78126856,NA
