"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"20 to 2740","Range of Values",3680,3680,NA
".","Missing",354,4034,NA
