"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",2649,2649,NA
"1","Below lower detection limit",199,2848,NA
".","Missing",93,2941,NA
