"LBXRDW.Code.or.Value","LBXRDW.Value.Description","LBXRDW.Count","LBXRDW.Cumulative","LBXRDW.Skip.to.Item"
"10.7 to 26.5","Range of Values",8400,8400,NA
".","Missing",1040,9440,NA
