"LBXHDT.Code.or.Value","LBXHDT.Value.Description","LBXHDT.Count","LBXHDT.Cumulative","LBXHDT.Skip.to.Item"
"1.1 to 33.1","Range of Values",2804,2804,NA
".","Missing",1524,4328,NA
