"LBXSF6SI.Code.or.Value","LBXSF6SI.Value.Description","LBXSF6SI.Count","LBXSF6SI.Cumulative","LBXSF6SI.Skip.to.Item"
"0.16 to 56.3","Range of Values",8455,8455,NA
".","Missing",967,9422,NA
