"LBC156LA.Code.or.Value","LBC156LA.Value.Description","LBC156LA.Count","LBC156LA.Cumulative","LBC156LA.Skip.to.Item"
"0.1344 to 53.11","Range of Values",251,251,NA
".","Missing",0,251,NA
