"BMXHT.Code.or.Value","BMXHT.Value.Description","BMXHT.Count","BMXHT.Cumulative","BMXHT.Skip.to.Item"
"81.5 to 203.8","Range of Values",8873,8873,NA
".","Missing",889,9762,NA
