"RHQ240A.Code.or.Value","RHQ240A.Value.Description","RHQ240A.Count","RHQ240A.Cumulative","RHQ240A.Skip.to.Item"
"10","Job-scheduling difficulties",119,119,NA
"77","Refused",0,119,NA
"99","Don't know",0,119,NA
".","Missing",3398,3517,NA
