"VIXKRCG.Code.or.Value","VIXKRCG.Value.Description","VIXKRCG.Count","VIXKRCG.Cumulative","VIXKRCG.Skip.to.Item"
"0 to 179","Range of Values",6969,6969,NA
"888","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
