"DR2TBCAR.Code.or.Value","DR2TBCAR.Value.Description","DR2TBCAR.Count","DR2TBCAR.Cumulative","DR2TBCAR.Skip.to.Item"
"0 to 55236","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
