"URXPMA.Code.or.Value","URXPMA.Value.Description","URXPMA.Count","URXPMA.Cumulative","URXPMA.Skip.to.Item"
"0.424 to 16.6","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
