"URDDCBLC.Code.or.Value","URDDCBLC.Value.Description","URDDCBLC.Count","URDDCBLC.Cumulative","URDDCBLC.Skip.to.Item"
"0","At or above the detection limit",2146,2146,NA
"1","Below lower detection limit",343,2489,NA
".","Missing",105,2594,NA
