"LBCBR3LA.Code.or.Value","LBCBR3LA.Value.Description","LBCBR3LA.Count","LBCBR3LA.Cumulative","LBCBR3LA.Skip.to.Item"
"3.848 to 231.9","Range of Values",284,284,NA
".","Missing",0,284,NA
