"URXMC1.Code.or.Value","URXMC1.Value.Description","URXMC1.Count","URXMC1.Cumulative","URXMC1.Skip.to.Item"
"0.28 to 297.4","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
