"PUD074.Code.or.Value","PUD074.Value.Description","PUD074.Count","PUD074.Cumulative","PUD074.Skip.to.Item"
"1","One time only",469,469,NA
"2","Two or more times",116,585,NA
".","Missing",9380,9965,NA
