"DXXL3A.Code.or.Value","DXXL3A.Value.Description","DXXL3A.Count","DXXL3A.Cumulative","DXXL3A.Skip.to.Item"
"9.56 to 23.58","Range of Values",2735,2735,NA
".","Missing",973,3708,NA
